Name,ID,Has Block,Mod,Class
minecraft:brick_block,45,true,minecraft,net.minecraft.item.ItemBlock
minecraft:tnt,46,true,minecraft,net.minecraft.item.ItemBlock
minecraft:bookshelf,47,true,minecraft,net.minecraft.item.ItemBlock
minecraft:mossy_cobblestone,48,true,minecraft,net.minecraft.item.ItemBlock
minecraft:obsidian,49,true,minecraft,net.minecraft.item.ItemBlock
minecraft:torch,50,true,minecraft,net.minecraft.item.ItemBlock
minecraft:fire,51,true,minecraft,net.minecraft.item.ItemBlock
minecraft:mob_spawner,52,true,minecraft,codechicken.nei.ItemMobSpawner
minecraft:oak_stairs,53,true,minecraft,net.minecraft.item.ItemBlock
minecraft:chest,54,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:redstone_wire_technical,55,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:diamond_ore,56,true,minecraft,net.minecraft.item.ItemBlock
minecraft:diamond_block,57,true,minecraft,net.minecraft.item.ItemBlock
minecraft:crafting_table,58,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:wheat_technical,59,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:farmland,60,true,minecraft,net.minecraft.item.ItemBlock
minecraft:furnace,61,true,minecraft,net.minecraft.item.ItemBlock
minecraft:lit_furnace,62,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:standing_sign_technical,63,true,DragonAPI,net.minecraft.item.ItemBlock
DragonAPI:minecraft:wooden_door_technical,64,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:ladder,65,true,minecraft,net.minecraft.item.ItemBlock
minecraft:rail,66,true,minecraft,net.minecraft.item.ItemBlock
minecraft:stone_stairs,67,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:wall_sign_technical,68,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:lever,69,true,minecraft,net.minecraft.item.ItemBlock
minecraft:stone_pressure_plate,70,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:iron_door_technical,71,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:wooden_pressure_plate,72,true,minecraft,net.minecraft.item.ItemBlock
minecraft:redstone_ore,73,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:lit_redstone_ore_technical,74,true,DragonAPI,net.minecraft.item.ItemBlock
DragonAPI:minecraft:unlit_redstone_torch_technical,75,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:redstone_torch,76,true,minecraft,net.minecraft.item.ItemBlock
minecraft:stone_button,77,true,minecraft,net.minecraft.item.ItemBlock
minecraft:snow_layer,78,true,minecraft,net.minecraft.item.ItemSnow
minecraft:ice,79,true,minecraft,net.minecraft.item.ItemBlock
minecraft:snow,80,true,minecraft,net.minecraft.item.ItemBlock
minecraft:cactus,81,true,minecraft,net.minecraft.item.ItemBlock
minecraft:clay,82,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:reeds_technical,83,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:jukebox,84,true,minecraft,net.minecraft.item.ItemBlock
minecraft:fence,85,true,minecraft,net.minecraft.item.ItemBlock
minecraft:pumpkin,86,true,minecraft,net.minecraft.item.ItemBlock
minecraft:netherrack,87,true,minecraft,net.minecraft.item.ItemBlock
minecraft:soul_sand,88,true,minecraft,net.minecraft.item.ItemBlock
minecraft:glowstone,89,true,minecraft,net.minecraft.item.ItemBlock
minecraft:portal,90,true,minecraft,net.minecraft.item.ItemBlock
minecraft:lit_pumpkin,91,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:cake_technical,92,true,DragonAPI,net.minecraft.item.ItemBlock
DragonAPI:minecraft:unpowered_repeater_technical,93,true,DragonAPI,net.minecraft.item.ItemBlock
DragonAPI:minecraft:powered_repeater_technical,94,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:stained_glass,95,true,minecraft,net.minecraft.item.ItemCloth
minecraft:trapdoor,96,true,minecraft,net.minecraft.item.ItemBlock
minecraft:monster_egg,97,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:stonebrick,98,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:brown_mushroom_block,99,true,minecraft,net.minecraft.item.ItemBlock
minecraft:red_mushroom_block,100,true,minecraft,net.minecraft.item.ItemBlock
minecraft:iron_bars,101,true,minecraft,net.minecraft.item.ItemBlock
minecraft:glass_pane,102,true,minecraft,net.minecraft.item.ItemBlock
minecraft:melon_block,103,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:pumpkin_stem_technical,104,true,DragonAPI,net.minecraft.item.ItemBlock
DragonAPI:minecraft:melon_stem_technical,105,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:vine,106,true,minecraft,net.minecraft.item.ItemColored
minecraft:fence_gate,107,true,minecraft,net.minecraft.item.ItemBlock
minecraft:brick_stairs,108,true,minecraft,net.minecraft.item.ItemBlock
minecraft:stone_brick_stairs,109,true,minecraft,net.minecraft.item.ItemBlock
minecraft:mycelium,110,true,minecraft,net.minecraft.item.ItemBlock
minecraft:waterlily,111,true,minecraft,net.minecraft.item.ItemLilyPad
minecraft:nether_brick,112,true,minecraft,net.minecraft.item.ItemBlock
minecraft:nether_brick_fence,113,true,minecraft,net.minecraft.item.ItemBlock
minecraft:nether_brick_stairs,114,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:nether_wart_technical,115,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:enchanting_table,116,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:brewing_stand_technical,117,true,DragonAPI,net.minecraft.item.ItemBlock
DragonAPI:minecraft:cauldron_technical,118,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:end_portal,119,true,minecraft,net.minecraft.item.ItemBlock
minecraft:end_portal_frame,120,true,minecraft,net.minecraft.item.ItemBlock
minecraft:end_stone,121,true,minecraft,net.minecraft.item.ItemBlock
minecraft:dragon_egg,122,true,minecraft,net.minecraft.item.ItemBlock
minecraft:redstone_lamp,123,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:lit_redstone_lamp_technical,124,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:double_wooden_slab,125,true,minecraft,net.minecraft.item.ItemSlab
minecraft:wooden_slab,126,true,minecraft,net.minecraft.item.ItemSlab
minecraft:cocoa,127,true,minecraft,net.minecraft.item.ItemBlock
minecraft:sandstone_stairs,128,true,minecraft,net.minecraft.item.ItemBlock
minecraft:emerald_ore,129,true,minecraft,net.minecraft.item.ItemBlock
minecraft:ender_chest,130,true,minecraft,net.minecraft.item.ItemBlock
minecraft:tripwire_hook,131,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:tripwire_technical,132,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:emerald_block,133,true,minecraft,net.minecraft.item.ItemBlock
minecraft:spruce_stairs,134,true,minecraft,net.minecraft.item.ItemBlock
minecraft:birch_stairs,135,true,minecraft,net.minecraft.item.ItemBlock
minecraft:jungle_stairs,136,true,minecraft,net.minecraft.item.ItemBlock
minecraft:command_block,137,true,minecraft,net.minecraft.item.ItemBlock
minecraft:beacon,138,true,minecraft,net.minecraft.item.ItemBlock
minecraft:cobblestone_wall,139,true,minecraft,net.minecraft.item.ItemMultiTexture
DragonAPI:minecraft:flower_pot_technical,140,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:carrots,141,true,minecraft,net.minecraft.item.ItemBlock
minecraft:potatoes,142,true,minecraft,net.minecraft.item.ItemBlock
minecraft:wooden_button,143,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:skull_technical,144,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:anvil,145,true,minecraft,net.minecraft.item.ItemAnvilBlock
minecraft:trapped_chest,146,true,minecraft,net.minecraft.item.ItemBlock
minecraft:light_weighted_pressure_plate,147,true,minecraft,net.minecraft.item.ItemBlock
minecraft:heavy_weighted_pressure_plate,148,true,minecraft,net.minecraft.item.ItemBlock
DragonAPI:minecraft:unpowered_comparator_technical,149,true,DragonAPI,net.minecraft.item.ItemBlock
DragonAPI:minecraft:powered_comparator_technical,150,true,DragonAPI,net.minecraft.item.ItemBlock
minecraft:daylight_detector,151,true,minecraft,net.minecraft.item.ItemBlock
minecraft:redstone_block,152,true,minecraft,net.minecraft.item.ItemBlock
minecraft:quartz_ore,153,true,minecraft,net.minecraft.item.ItemBlock
minecraft:hopper,154,true,minecraft,net.minecraft.item.ItemBlock
minecraft:quartz_block,155,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:quartz_stairs,156,true,minecraft,net.minecraft.item.ItemBlock
minecraft:activator_rail,157,true,minecraft,net.minecraft.item.ItemBlock
minecraft:dropper,158,true,minecraft,net.minecraft.item.ItemBlock
minecraft:stained_hardened_clay,159,true,minecraft,net.minecraft.item.ItemCloth
minecraft:stained_glass_pane,160,true,minecraft,net.minecraft.item.ItemCloth
minecraft:leaves2,161,true,minecraft,net.minecraft.item.ItemLeaves
minecraft:log2,162,true,minecraft,net.minecraft.item.ItemMultiTexture
minecraft:acacia_stairs,163,true,minecraft,net.minecraft.item.ItemBlock
minecraft:dark_oak_stairs,164,true,minecraft,net.minecraft.item.ItemBlock
BuildCraft|Core:eternalSpring,165,true,BuildCraft|Core,buildcraft.core.ItemSpring
BuildCraft|Energy:engineBlock,166,true,BuildCraft|Energy,buildcraft.energy.ItemEngine
BuildCraft|Energy:blockOil,167,true,BuildCraft|Energy,buildcraft.core.ItemBlockBuildCraft
BuildCraft|Energy:blockFuel,168,true,BuildCraft|Energy,buildcraft.core.ItemBlockBuildCraft
BuildCraft|Energy:blockRedPlasma,169,true,BuildCraft|Energy,buildcraft.core.ItemBlockBuildCraft
minecraft:hay_block,170,true,minecraft,net.minecraft.item.ItemBlock
minecraft:carpet,171,true,minecraft,net.minecraft.item.ItemCloth
minecraft:hardened_clay,172,true,minecraft,net.minecraft.item.ItemBlock
minecraft:coal_block,173,true,minecraft,net.minecraft.item.ItemBlock
minecraft:packed_ice,174,true,minecraft,net.minecraft.item.ItemBlock
minecraft:double_plant,175,true,minecraft,net.minecraft.item.ItemDoublePlant
GalacticraftCore:tile.crudeOilStill,176,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.fuel,177,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.landingPad,178,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockLandingPad
GalacticraftCore:tile.landingPadFull,179,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.unlitTorch,180,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.unlitTorchLit,181,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.breatheableAir,182,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.brightAir,183,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.brightBreathableAir,184,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.oxygenCollector,185,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.oxygenCompressor,186,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockOxygenCompressor
GalacticraftCore:tile.distributor,187,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.sealer,188,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.oxygenDetector,189,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.oxygenPipe,190,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.refinery,191,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.fuelLoader,192,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.cargo,193,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockCargoLoader
GalacticraftCore:tile.rocketWorkbench,194,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.gcBlockCore,195,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockBase
GalacticraftCore:tile.airLockFrame,196,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockAirLock
GalacticraftCore:tile.airLockSeal,197,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.enclosed,198,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockEnclosed
GalacticraftCore:tile.spaceStationBase,199,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.dummyblock,200,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDummy
GalacticraftCore:tile.parachest,201,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.solar,202,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockSolar
GalacticraftCore:tile.machine,203,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockMachine
GalacticraftCore:tile.machine2,204,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockMachine
GalacticraftCore:tile.machineTiered,205,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockMachine
GalacticraftCore:tile.aluminumWire,206,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockAluminumWire
GalacticraftCore:tile.glowstoneTorch,207,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.fallenMeteor,208,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.moonBlock,209,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockMoon
GalacticraftCore:tile.cheeseBlock,210,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockCheese
GalacticraftCore:tile.spinThruster,211,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockThruster
GalacticraftCore:tile.viewScreen,212,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.telemetry,213,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.arclamp,214,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockArclamp
GalacticraftCore:tile.treasureChest,215,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockDesc
GalacticraftCore:tile.tinStairs1,216,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.tinStairs2,217,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.moonStoneStairs,218,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.moonBricksStairs,219,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockGC
GalacticraftCore:tile.wallGC,220,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockWallGC
GalacticraftCore:slabGCHalf,221,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockSlabGC
GalacticraftCore:slabGCDouble,222,true,GalacticraftCore,micdoodle8.mods.galacticraft.core.items.ItemBlockSlabGC
SpaceEuropa:europa_block,223,true,SpaceEuropa,mattparks.mods.space.europa.itemblocks.ItemBlockBasicEuropa
SpaceEuropa:europa_ice,224,true,SpaceEuropa,mattparks.mods.space.europa.itemblocks.ItemBlockEuropaIce
SpaceEuropa:packed_europa_ice,225,true,SpaceEuropa,mattparks.mods.space.core.util.ItemBlockUtil
SpaceEuropa:europa_water_fluid,226,true,SpaceEuropa,mattparks.mods.space.core.util.ItemBlockUtil
SpaceHole:hole_basic,227,true,SpaceHole,mattparks.mods.space.hole.itemblocks.ItemBlockBasicHole
SpaceIo:io_basic,228,true,SpaceIo,mattparks.mods.space.io.itemblocks.ItemBlockBasicIo
SpaceIo:magma_rock,229,true,SpaceIo,mattparks.mods.space.io.itemblocks.ItemBlockMagmaRock
SpaceIo:liquid_red_sulfur_flowing,230,true,SpaceIo,mattparks.mods.space.core.util.ItemBlockUtil
SpaceIo:liquid_red_sulfur_still,231,true,SpaceIo,mattparks.mods.space.core.util.ItemBlockUtil
SpaceIo:liquid_yellow_sulfur_flowing,232,true,SpaceIo,mattparks.mods.space.core.util.ItemBlockUtil
SpaceIo:liquid_yellow_sulfur_still,233,true,SpaceIo,mattparks.mods.space.core.util.ItemBlockUtil
SpaceIo:liquid_orange_sulfur_flowing,234,true,SpaceIo,mattparks.mods.space.core.util.ItemBlockUtil
SpaceIo:liquid_orange_sulfur_still,235,true,SpaceIo,mattparks.mods.space.core.util.ItemBlockUtil
SpaceIo:io_lava_flowing,236,true,SpaceIo,mattparks.mods.space.core.util.ItemBlockUtil
SpaceIo:io_lava_still,237,true,SpaceIo,mattparks.mods.space.core.util.ItemBlockUtil
SpaceMercury:mercury_block,238,true,SpaceMercury,mattparks.mods.space.mercury.itemblocks.ItemBlockBasicMercury
SpaceMercury:mercury_glowstone,239,true,SpaceMercury,mattparks.mods.space.mercury.itemblocks.ItemBlockGlowstoneMercury
SpaceMercury:caravan_module,240,true,SpaceMercury,mattparks.mods.space.core.util.ItemBlockUtil
SpaceMercury:caravan_module_dummy,241,true,SpaceMercury,mattparks.mods.space.core.util.ItemBlockUtil
SpacePluto:pluto_block,242,true,SpacePluto,mattparks.mods.space.pluto.itemblocks.ItemBlockBasicPluto
SpaceVenus:venus_basic,243,true,SpaceVenus,mattparks.mods.space.venus.itemblocks.ItemBlockBasicVenus
SpaceVenus:venus_decor,244,true,SpaceVenus,mattparks.mods.space.venus.itemblocks.ItemBlockDecorVenus
SpaceVenus:venusian_tnt,245,true,SpaceVenus,mattparks.mods.space.core.util.ItemBlockUtil
SpaceVenus:vurn_stone,246,true,SpaceVenus,mattparks.mods.space.core.util.ItemBlockUtil
SpaceVenus:evolved_blaze_egg,247,true,SpaceVenus,mattparks.mods.space.core.util.ItemBlockUtil
SpaceVenus:sulfur_torch,248,true,SpaceVenus,mattparks.mods.space.core.util.ItemBlockUtil
appliedenergistics2:tile.OreQuartz,249,true,appliedenergistics2,appeng.block.AEBaseItemBlock
appliedenergistics2:tile.OreQuartzCharged,250,true,appliedenergistics2,appeng.block.AEBaseItemBlock
appliedenergistics2:tile.BlockMatrixFrame,251,true,appliedenergistics2,appeng.block.AEBaseItemBlock
appliedenergistics2:tile.BlockQuartz,252,true,appliedenergistics2,appeng.block.AEBaseItemBlock
appliedenergistics2:tile.BlockQuartzPillar,253,true,appliedenergistics2,appeng.block.AEBaseItemBlock
appliedenergistics2:tile.BlockQuartzChiseled,254,true,appliedenergistics2,appeng.block.AEBaseItemBlock
appliedenergistics2:tile.BlockQuartzGlass,255,true,appliedenergistics2,appeng.block.AEBaseItemBlock
minecraft:iron_shovel,256,false,minecraft,net.minecraft.item.ItemSpade
minecraft:iron_pickaxe,257,false,minecraft,net.minecraft.item.ItemPickaxe
minecraft:iron_axe,258,false,minecraft,net.minecraft.item.ItemAxe
minecraft:flint_and_steel,259,false,minecraft,net.minecraft.item.ItemFlintAndSteel
minecraft:apple,260,false,minecraft,net.minecraft.item.ItemFood
minecraft:bow,261,false,minecraft,net.minecraft.item.ItemBow
minecraft:arrow,262,false,minecraft,net.minecraft.item.Item
minecraft:coal,263,false,minecraft,net.minecraft.item.ItemCoal
minecraft:diamond,264,false,minecraft,net.minecraft.item.Item
minecraft:iron_ingot,265,false,minecraft,net.minecraft.item.Item
minecraft:gold_ingot,266,false,minecraft,net.minecraft.item.Item
minecraft:iron_sword,267,false,minecraft,net.minecraft.item.ItemSword
minecraft:wooden_sword,268,false,minecraft,net.minecraft.item.ItemSword
minecraft:wooden_shovel,269,false,minecraft,net.minecraft.item.ItemSpade
minecraft:wooden_pickaxe,270,false,minecraft,net.minecraft.item.ItemPickaxe
minecraft:wooden_axe,271,false,minecraft,net.minecraft.item.ItemAxe
minecraft:stone_sword,272,false,minecraft,net.minecraft.item.ItemSword
minecraft:stone_shovel,273,false,minecraft,net.minecraft.item.ItemSpade
minecraft:stone_pickaxe,274,false,minecraft,net.minecraft.item.ItemPickaxe
minecraft:stone_axe,275,false,minecraft,net.minecraft.item.ItemAxe
minecraft:diamond_sword,276,false,minecraft,net.minecraft.item.ItemSword
minecraft:diamond_shovel,277,false,minecraft,net.minecraft.item.ItemSpade
minecraft:diamond_pickaxe,278,false,minecraft,net.minecraft.item.ItemPickaxe
minecraft:diamond_axe,279,false,minecraft,net.minecraft.item.ItemAxe
minecraft:stick,280,false,minecraft,net.minecraft.item.Item
minecraft:bowl,281,false,minecraft,net.minecraft.item.Item
minecraft:mushroom_stew,282,false,minecraft,net.minecraft.item.ItemSoup
minecraft:golden_sword,283,false,minecraft,net.minecraft.item.ItemSword
minecraft:golden_shovel,284,false,minecraft,net.minecraft.item.ItemSpade
minecraft:golden_pickaxe,285,false,minecraft,net.minecraft.item.ItemPickaxe
minecraft:golden_axe,286,false,minecraft,net.minecraft.item.ItemAxe
minecraft:string,287,false,minecraft,net.minecraft.item.ItemReed
minecraft:feather,288,false,minecraft,net.minecraft.item.Item
minecraft:gunpowder,289,false,minecraft,net.minecraft.item.Item
minecraft:wooden_hoe,290,false,minecraft,net.minecraft.item.ItemHoe
minecraft:stone_hoe,291,false,minecraft,net.minecraft.item.ItemHoe
minecraft:iron_hoe,292,false,minecraft,net.minecraft.item.ItemHoe
minecraft:diamond_hoe,293,false,minecraft,net.minecraft.item.ItemHoe
minecraft:golden_hoe,294,false,minecraft,net.minecraft.item.ItemHoe
minecraft:wheat_seeds,295,false,minecraft,net.minecraft.item.ItemSeeds
minecraft:wheat,296,false,minecraft,net.minecraft.item.Item
minecraft:bread,297,false,minecraft,net.minecraft.item.ItemFood
minecraft:leather_helmet,298,false,minecraft,net.minecraft.item.ItemArmor
minecraft:leather_chestplate,299,false,minecraft,net.minecraft.item.ItemArmor
minecraft:leather_leggings,300,false,minecraft,net.minecraft.item.ItemArmor
minecraft:leather_boots,301,false,minecraft,net.minecraft.item.ItemArmor
minecraft:chainmail_helmet,302,false,minecraft,net.minecraft.item.ItemArmor
minecraft:chainmail_chestplate,303,false,minecraft,net.minecraft.item.ItemArmor
minecraft:chainmail_leggings,304,false,minecraft,net.minecraft.item.ItemArmor
minecraft:chainmail_boots,305,false,minecraft,net.minecraft.item.ItemArmor
minecraft:iron_helmet,306,false,minecraft,net.minecraft.item.ItemArmor
minecraft:iron_chestplate,307,false,minecraft,net.minecraft.item.ItemArmor
minecraft:iron_leggings,308,false,minecraft,net.minecraft.item.ItemArmor
minecraft:iron_boots,309,false,minecraft,net.minecraft.item.ItemArmor
minecraft:diamond_helmet,310,false,minecraft,net.minecraft.item.ItemArmor
minecraft:diamond_chestplate,311,false,minecraft,net.minecraft.item.ItemArmor
minecraft:diamond_leggings,312,false,minecraft,net.minecraft.item.ItemArmor
minecraft:diamond_boots,313,false,minecraft,net.minecraft.item.ItemArmor
minecraft:golden_helmet,314,false,minecraft,net.minecraft.item.ItemArmor
minecraft:golden_chestplate,315,false,minecraft,net.minecraft.item.ItemArmor
minecraft:golden_leggings,316,false,minecraft,net.minecraft.item.ItemArmor
minecraft:golden_boots,317,false,minecraft,net.minecraft.item.ItemArmor
minecraft:flint,318,false,minecraft,net.minecraft.item.Item
minecraft:porkchop,319,false,minecraft,net.minecraft.item.ItemFood
minecraft:cooked_porkchop,320,false,minecraft,net.minecraft.item.ItemFood
minecraft:painting,321,false,minecraft,net.minecraft.item.ItemHangingEntity
minecraft:golden_apple,322,false,minecraft,net.minecraft.item.ItemAppleGold
minecraft:sign,323,false,minecraft,net.minecraft.item.ItemSign
minecraft:wooden_door,324,false,minecraft,net.malisis.doors.door.item.DoorItem
minecraft:bucket,325,false,minecraft,net.minecraft.item.ItemBucket
minecraft:water_bucket,326,false,minecraft,net.minecraft.item.ItemBucket
